Customer search term,Keywords,Match type,Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACOS(%),RoAS,Conversion rate
5.2 round rug,round rug,BROAD,1,1,100,0.46,0.46,0,0.00,,0,0
6x9 rug modern,modern rug,BROAD,2,1,50,0.56,0.56,0,0.00,,0,0
72 bathroom rug gray white,bathroom rug gray,PHRASE,2,1,50,0.47,0.47,0,0.00,,0,0
abstract bath mat,bath mat,PHRASE,4,1,25,0.48,0.48,0,0.00,,0,0
aesthetic bathroom mat,bathroom mat,PHRASE,2,1,50,0.44,0.44,0,0.00,,0,0
african bath rugs,bath rug,PHRASE,4,1,25,0.51,0.51,0,0.00,,0,0
bamboo bathroom mats,bathroom mat,PHRASE,1,1,100,0.68,0.68,0,0.00,,0,0
bath mat boho,bath mat,PHRASE,2,1,50,0.51,0.51,0,0.00,,0,0
bath mat cute,bath mat cute,PHRASE,2,1,50,0.48,0.48,0,0.00,,0,0
bath mat dark teal,bath mat,PHRASE,1,1,100,0.80,0.80,0,0.00,,0,0
bath mat geometric,bath mat,PHRASE,1,1,100,0.76,0.76,0,0.00,,0,0
bath mat green,bath mat green,PHRASE,1,1,100,0.75,0.75,0,0.00,,0,0
bath mat tribal,bath mat,PHRASE,1,1,100,0.49,0.49,0,0.00,,0,0
bath mat washable guest,bath mat washable,PHRASE,1,1,100,0.50,0.50,0,0.00,,0,0
bath mat with design,bath mat,PHRASE,2,2,100,1.16,0.58,0,0.00,,0,0
bath mats 17xby24 multi color,bath mat,PHRASE,1,1,100,0.47,0.47,0,0.00,,0,0
bath mats agate,bath mat,PHRASE,3,2,66.6667,0.94,0.47,0,0.00,,0,0
bath mats for bathroom,bath mats for bathroom,PHRASE,1,1,100,0.80,0.80,0,0.00,,0,0
bath rug funny,bath rug,PHRASE,2,1,50,0.52,0.52,0,0.00,,0,0
bath rug red,bath rug red,PHRASE,3,1,33.3333,0.80,0.80,1,29.99,2.6676,37.4875,100
bath rug tassel,bath rug tassel,PHRASE,2,1,50,0.79,0.79,0,0.00,,0,0
bathroom mat purple white,bathroom mat purple,PHRASE,1,1,100,0.46,0.46,0,0.00,,0,0
bathroom mats and rugs grey and blue,bathroom mats and rugs grey,PHRASE,2,1,50,0.48,0.48,0,0.00,,0,0
bathroom mats christmas,bathroom mat,PHRASE,7,1,14.2857,0.30,0.30,0,0.00,,0,0
bathroom runners extra long 72,bathroom runner,BROAD,2,1,50,0.49,0.49,0,0.00,,0,0
bathroom thin mat set,bathroom mat,BROAD,1,1,100,0.50,0.50,0,0.00,,0,0
beige bathroom carpets,bathroom carpet,BROAD,2,1,50,0.50,0.50,0,0.00,,0,0
better homes and gardens bath rug orange,bath rug orange,PHRASE,2,1,50,0.46,0.46,0,0.00,,0,0
black and white bath mat,bath mat,PHRASE,6,1,16.6667,0.79,0.79,0,0.00,,0,0
black and white bath rugs,bath rug,PHRASE,2,1,50,0.46,0.46,0,0.00,,0,0
black and white farmhouse bath mat,white bath mat,BROAD,1,1,100,0.59,0.59,0,0.00,,0,0
black chic bathroom mat,bathroom mat,PHRASE,2,1,50,0.42,0.42,0,0.00,,0,0
black round rugs 5ft,round rug,BROAD,1,1,100,0.78,0.78,0,0.00,,0,0
black white bath rug,bath rug,PHRASE,3,1,33.3333,0.46,0.46,0,0.00,,0,0
bohemian bath mat,bath mat,PHRASE,2,1,50,0.45,0.45,0,0.00,,0,0
boho shag rug,shag rug,BROAD,1,1,100,0.80,0.80,0,0.00,,0,0
bone shag round rug,round shag rug,BROAD,1,1,100,0.54,0.54,0,0.00,,0,0
carpets for bathrooms for islam,bathroom carpet,BROAD,3,1,33.3333,0.49,0.49,0,0.00,,0,0
cheetah bath mats,bath mat,PHRASE,1,1,100,0.46,0.46,0,0.00,,0,0
