"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B07JH5RJYF","B07JJC4NTT","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back(Moroccan Craftman)","1-mc-18","3,395","4.51%","4,488","4.61%","99%","119","3.51%","$5,216.29","107"
"B07RRZSCSX","B07JMDZBSR","2 Piece Non-slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Dream Light)","P0-YVWS-B6V6","3,043","4.05%","4,193","4.31%","100%","94","3.09%","$4,935.27","92"
"B07JH5RJYF","B07JJ3HGSN","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back (Moroccan Wooden House)","1-mwh-18","5,216","6.94%","7,030","7.22%","99%","91","1.74%","$3,993.68","82"
"B07RRZSCSX","B07JMT389Q","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Enjoy Life)","0Y-KRAZ-EDMI","1,411","1.88%","1,906","1.96%","100%","44","3.12%","$2,297.99","42"
"B07JH2JKVQ","B07JMT389Q","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Enjoy Life)","0Y-KRAZ-EDMI","1,742","2.32%","2,212","2.27%","100%","42","2.41%","$2,490.67","41"
"B07RRZSCSX","B07KJXZ3SG","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway Bedroom - Oil Resistant Long Ｍat(Marble Stone)","8Q-J2DE-IRY8","1,846","2.45%","2,537","2.61%","100%","39","2.11%","$1,986.28","39"
"B07JH2JKVQ","B07KJZH4KL","2 Piece Nonslip AntiFatigue Kitchen Mat -(17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway Bedroom- Oil Resistant Long Kitchen(Luxury Feast)","AE-G7HN-0REZ","1,240","1.65%","1,583","1.63%","100%","30","2.42%","$1,770.56","28"
"B07JH2JKVQ","B07L3WFM1C","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Pink Crown)","CL-PIWX-DDRG","1,240","1.65%","1,572","1.61%","100%","27","2.18%","$1,603.38","27"
"B07JH2JKVQ","B07JHVFFP8","Anti-Fatigue Kitchen Mat | Pack of 2 | 2 Sizes| Professionally Designed | PVC Synthetic Fiber | Super Fashionable | Oil Prevent | Double Sided | (Black Marble)","1-bm-18","2,725","3.62%","3,405","3.50%","98%","28","1.03%","$1,651.58","24"
"B07JH2JKVQ","B07JMDZBSR","2 Piece Non-slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Dream Light)","P0-YVWS-B6V6","710","0.94%","996","1.02%","100%","24","3.38%","$1,435.03","23"
"B07JH2JKVQ","B07L3WVVTG","2 Piece Non-Slip Kitchen Mat Sets - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Anti-Fatigue Throw Rugs Runner Carpet - Kitchen Floor Mats Comfort Standing Mat Waterproof Stain Resistant for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen Rugs (Coffee time)","VQ-ZK10-AI17","319","0.42%","403","0.41%","100%","20","6.27%","$1,187.49","20"
"B07JH5RJYF","B07JHV2GP2","Desiderare Thick Fluffy Washroom Mat - 31"" x 19"" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back (Space Man)","1-sm-18","1,431","1.90%","1,810","1.86%","100%","19","1.33%","$812.79","19"
"B07JH2JKVQ","B07JGCH5CC","Anti-Fatigue Kitchen Mat | Pack of 2 | 2 Sizes| Professionally Designed | PVC Synthetic Fiber | Super Fashionable | Oil Prevent | Double Sided | (White Marble)","1-wm-18","2,575","3.42%","3,183","3.27%","98%","19","0.74%","$1,126.18","18"
