State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACOS(%)
PAUSED,kitchen mat-214-auto-hw key words,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/13/18,,,1.00,684283,4671,0.6826,2531.69,0.54,67,4128.47,61.3227
ENABLED,"63"" x 27.5"" -key words 3 manual",CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,11/15/18,,,3.00,806731,1818,0.2254,1081.70,0.59,32,1695.04,63.8156
ENABLED,"31"" x 19""  - key words 1 manual",OUT_OF_BUDGET,SP,MANUAL,Dynamic bids - down only,11/15/18,,,4.00,563255,1879,0.3336,1038.18,0.55,32,1825.31,56.8769
PAUSED,214 mat-bathroom mat auto,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,11/10/18,,,6.00,608587,1911,0.314,1290.82,0.68,27,1284.92,100.4592
PAUSED,B07JMT389Q,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/15/18,,,1.00,618202,1697,0.2745,1018.11,0.60,25,1263.44,80.5824
ENABLED,B07JMDZBSR,OUT_OF_BUDGET,SP,AUTOMATIC,Dynamic bids - down only,8/22/19,,,3.00,74126,429,0.5787,255.73,0.60,12,608.88,42.0001
ENABLED,YSD 简约风,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dynamic bids - up and down,10/9/19,,,3.00,114205,279,0.2443,361.45,1.30,6,231.94,155.8377
ENABLED,SQ 自动,OUT_OF_BUDGET,SP,AUTOMATIC,Dynamic bids - up and down,10/10/19,,,2.50,80494,145,0.1801,160.39,1.11,5,159.95,100.2751
PAUSED,214 mat- kitchen mat auto,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,11/10/18,,,15.00,63777,462,0.7244,277.02,0.60,4,235.26,117.7506
PAUSED,214 kitchen mat- black marble manual,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/14/18,,,10.00,13540,150,1.1078,82.49,0.55,3,176.37,46.771
PAUSED,214 kitchen mat- enjoy life manual,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/14/18,,,10.00,27294,315,1.1541,181.98,0.58,3,234.36,77.6498
ENABLED,"31"" x 19""-Auto",CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dynamic bids - down only,10/22/19,,,3.00,20547,89,0.4332,56.26,0.63,2,89.97,62.532
ENABLED,清仓厨房垫,OUT_OF_BUDGET,SP,AUTOMATIC,Dynamic bids - down only,11/6/19,,,3.00,21691,86,0.3965,46.37,0.54,2,89.98,51.5337
PAUSED,Kitchen Mat,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,9/11/19,,,2.50,23546,171,0.7262,88.53,0.52,1,50.99,173.6223
PAUSED,B07JMDZBSR Manual,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,10/9/19,,,2.00,8223,57,0.6932,32.08,0.56,1,49.99,64.1728
PAUSED,214 mat - high cost,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,11/11/18,,,10.00,5904,55,0.9316,45.76,0.83,1,58.89,77.7042
PAUSED,214 bedside mat - sunshine smile,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,11/16/18,,,5.00,13822,58,0.4196,38.16,0.66,1,65.89,57.9147
PAUSED,XP Auto,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,10/15/19,,,1.50,11496,30,0.261,37.93,1.26,0,0.00,0
PAUSED,214 kitchen mat- dream light-manual,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/14/18,,,10.00,17545,174,0.9917,96.13,0.55,0,0.00,0
ENABLED,SQ 手动,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,11/5/19,,,2.00,261,0,0,0.00,0.00,0,0.00,0
PAUSED,B07JMDZBSR Auto,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,10/13/19,,,2.00,2512,22,0.8758,10.56,0.48,0,0.00,0
ENABLED,YSD Pure Bath Mats,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dynamic bids - down only,11/20/19,,,3.00,13,0,0,0.00,0.00,0,0.00,0
PAUSED,214 bedside mat - plant auto,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,11/16/18,,,5.00,193,0,0,0.00,0.00,0,0.00,0
PAUSED,214 mat-kitchen mat manual,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/10/18,,,10.00,206,3,1.4563,0.11,0.04,0,0.00,0
PAUSED,long tail words 1128,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/28/18,,,30.00,3474,31,0.8923,91.78,2.96,0,0.00,0
PAUSED,长尾词,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/27/18,,,15.00,6032,53,0.8786,26.71,0.50,0,0.00,0
PAUSED,YSD自动,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,9/10/19,,,2.50,14623,38,0.2599,65.86,1.73,0,0.00,0
PAUSED,214 kitchen mat -white marble manual,CAMPAIGN_PAUSED,SP,MANUAL,Dynamic bids - down only,11/14/18,,,10.00,0,0,0,0.00,0.00,0,0.00,0
ENABLED,DL门垫自动,OUT_OF_BUDGET,SP,AUTOMATIC,Dynamic bids - down only,9/10/19,,,2.00,70511,92,0.1305,112.38,1.22,0,0.00,0
PAUSED,XP自动,CAMPAIGN_PAUSED,SP,AUTOMATIC,Dynamic bids - down only,9/10/19,,,2.50,15984,45,0.2815,68.90,1.53,0,0.00,0
