"Sales Dashboard"
"Last updated","November 21, 2019 1:15:54 PM PST"

"Filter selection"
"Date","Custom [November 22, 2017 - November 21, 2019]"
"Fulfillment channel","Both (Amazon and seller)"

"Sales snapshot"
"Total order items","Units ordered","Ordered product sales","Avg. units/order item","Avg. sales/order item"
"829","869","$43,235.94","1.05","$52.15"

"Compare sales - Graph view"
"Time","Selected date range (OPS)","Selected date range (Units)"
"11/22/17","$0.00","0"
"11/23/17","$0.00","0"
"11/24/17","$0.00","0"
"11/25/17","$0.00","0"
"11/26/17","$0.00","0"
"11/27/17","$0.00","0"
"11/28/17","$0.00","0"
"11/29/17","$0.00","0"
"11/30/17","$0.00","0"
"12/1/17","$0.00","0"
"12/2/17","$0.00","0"
"12/3/17","$0.00","0"
"12/4/17","$0.00","0"
"12/5/17","$0.00","0"
"12/6/17","$0.00","0"
"12/7/17","$0.00","0"
"12/8/17","$0.00","0"
"12/9/17","$0.00","0"
"12/10/17","$0.00","0"
"12/11/17","$0.00","0"
"12/12/17","$0.00","0"
"12/13/17","$0.00","0"
"12/14/17","$0.00","0"
"12/15/17","$0.00","0"
"12/16/17","$0.00","0"
"12/17/17","$0.00","0"
"12/18/17","$0.00","0"
"12/19/17","$0.00","0"
"12/20/17","$0.00","0"
"12/21/17","$0.00","0"
"12/22/17","$0.00","0"
"12/23/17","$0.00","0"
"12/24/17","$0.00","0"
"12/25/17","$0.00","0"
"12/26/17","$0.00","0"
"12/27/17","$0.00","0"
"12/28/17","$0.00","0"
"12/29/17","$0.00","0"
"12/30/17","$0.00","0"
"12/31/17","$0.00","0"
"1/1/18","$0.00","0"
"1/2/18","$0.00","0"
"1/3/18","$0.00","0"
"1/4/18","$0.00","0"
"1/5/18","$0.00","0"
"1/6/18","$0.00","0"
"1/7/18","$0.00","0"
"1/8/18","$0.00","0"
"1/9/18","$0.00","0"
"1/10/18","$0.00","0"
"1/11/18","$0.00","0"
"1/12/18","$0.00","0"
"1/13/18","$0.00","0"
"1/14/18","$0.00","0"
"1/15/18","$0.00","0"
"1/16/18","$0.00","0"
"1/17/18","$0.00","0"
"1/18/18","$0.00","0"
"1/19/18","$0.00","0"
"1/20/18","$0.00","0"
"1/21/18","$0.00","0"
"1/22/18","$0.00","0"
"1/23/18","$0.00","0"
"1/24/18","$0.00","0"
"1/25/18","$0.00","0"
"1/26/18","$0.00","0"
"1/27/18","$0.00","0"
"1/28/18","$0.00","0"
"1/29/18","$0.00","0"
"1/30/18","$0.00","0"
"1/31/18","$0.00","0"
"2/1/18","$0.00","0"
"2/2/18","$0.00","0"
"2/3/18","$0.00","0"
"2/4/18","$0.00","0"
"2/5/18","$0.00","0"
"2/6/18","$0.00","0"
"2/7/18","$0.00","0"
"2/8/18","$0.00","0"
"2/9/18","$0.00","0"
"2/10/18","$0.00","0"
"2/11/18","$0.00","0"
"2/12/18","$0.00","0"
"2/13/18","$0.00","0"
"2/14/18","$0.00","0"
"2/15/18","$0.00","0"
"2/16/18","$0.00","0"
"2/17/18","$0.00","0"
"2/18/18","$0.00","0"
"2/19/18","$0.00","0"
"2/20/18","$0.00","0"
"2/21/18","$0.00","0"
"2/22/18","$0.00","0"
"2/23/18","$0.00","0"
"2/24/18","$0.00","0"
"2/25/18","$0.00","0"
"2/26/18","$0.00","0"
"2/27/18","$0.00","0"
"2/28/18","$0.00","0"
"3/1/18","$0.00","0"
"3/2/18","$0.00","0"
"3/3/18","$0.00","0"
"3/4/18","$0.00","0"
"3/5/18","$0.00","0"
"3/6/18","$0.00","0"
"3/7/18","$0.00","0"
"3/8/18","$0.00","0"
"3/9/18","$0.00","0"
"3/10/18","$0.00","0"
"3/11/18","$0.00","0"
"3/12/18","$0.00","0"
"3/13/18","$0.00","0"
"3/14/18","$0.00","0"
"3/15/18","$0.00","0"
"3/16/18","$0.00","0"
"3/17/18","$0.00","0"
"3/18/18","$0.00","0"
"3/19/18","$0.00","0"
"3/20/18","$0.00","0"
"3/21/18","$0.00","0"
"3/22/18","$0.00","0"
"3/23/18","$0.00","0"
"3/24/18","$0.00","0"
"3/25/18","$0.00","0"
"3/26/18","$0.00","0"
"3/27/18","$0.00","0"
"3/28/18","$0.00","0"
"3/29/18","$0.00","0"
"3/30/18","$0.00","0"
"3/31/18","$0.00","0"
"4/1/18","$0.00","0"
"4/2/18","$0.00","0"
"4/3/18","$0.00","0"
"4/4/18","$0.00","0"
"4/5/18","$0.00","0"
"4/6/18","$0.00","0"
"4/7/18","$0.00","0"
"4/8/18","$0.00","0"
"4/9/18","$0.00","0"
"4/10/18","$0.00","0"
"4/11/18","$0.00","0"
"4/12/18","$0.00","0"
"4/13/18","$0.00","0"
"4/14/18","$0.00","0"
"4/15/18","$0.00","0"
"4/16/18","$0.00","0"
"4/17/18","$0.00","0"
"4/18/18","$0.00","0"
"4/19/18","$0.00","0"
"4/20/18","$0.00","0"
"4/21/18","$0.00","0"
"4/22/18","$0.00","0"
"4/23/18","$0.00","0"
"4/24/18","$0.00","0"
"4/25/18","$0.00","0"
"4/26/18","$0.00","0"
"4/27/18","$0.00","0"
"4/28/18","$0.00","0"
"4/29/18","$0.00","0"
"4/30/18","$0.00","0"
"5/1/18","$0.00","0"
"5/2/18","$0.00","0"
"5/3/18","$0.00","0"
"5/4/18","$0.00","0"
"5/5/18","$0.00","0"
"5/6/18","$0.00","0"
"5/7/18","$0.00","0"
"5/8/18","$0.00","0"
