Date,Start Date,End Date,Portfolio name,Campaign Type,Campaign Name,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACoS) ","7 Day Total Sales "
"Nov 10, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,12,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 10, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,55,2,3.64%,$0.17,$0.085,0,0.00%,$0.0
"Nov 10, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,31,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 10, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,2,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 11, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,1388,13,0.94%,$5.96,$0.4584615,0,0.00%,$0.0
"Nov 11, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,44,1,2.27%,$0.05,$0.05,0,0.00%,$0.0
"Nov 11, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,377,7,1.86%,$6.87,$0.9814286,1,11.67%,$58.89
"Nov 11, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,845,4,0.47%,$2.94,$0.735,0,0.00%,$0.0
"Nov 11, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,484,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 12, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,1144,14,1.22%,$9.62,$0.6871429,1,16.34%,$58.89
"Nov 12, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,37,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 12, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,3483,28,0.80%,$30.23,$1.0796429,0,0.00%,$0.0
"Nov 12, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3798,15,0.40%,$10.92,$0.728,0,0.00%,$0.0
"Nov 12, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,2245,6,0.27%,$4.37,$0.7283333000000001,0,0.00%,$0.0
"Nov 13, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,1262,7,0.56%,$5.41,$0.7728571,0,0.00%,$0.0
"Nov 13, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,1881,15,0.80%,$10.99,$0.7326667,0,0.00%,$0.0
"Nov 13, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2003,22,1.10%,$12.95,$0.5886364,1,22.10%,$58.59
"Nov 13, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,90,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 13, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,529,7,1.32%,$2.79,$0.3985714,0,0.00%,$0.0
"Nov 13, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,4,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 14, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1207,12,0.99%,$7.64,$0.6366667,0,0.00%,$0.0
"Nov 14, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,14,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 14, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,899,10,1.11%,$4.83,$0.483,0,0.00%,$0.0
"Nov 14, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,2177,4,0.18%,$2.65,$0.6625,0,0.00%,$0.0
"Nov 14, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- dream light-manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1629,16,0.98%,$10.41,$0.650625,0,0.00%,$0.0
"Nov 14, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1066,16,1.50%,$10.42,$0.65125,0,0.00%,$0.0
"Nov 14, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,4,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 14, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3167,14,0.44%,$10.97,$0.7835714,1,23.91%,$45.89
"Nov 14, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4985,32,0.64%,$20.44,$0.63875,0,0.00%,$0.0
"Nov 15, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1472,23,1.56%,$17.41,$0.7569565,0,0.00%,$0.0
"Nov 15, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,81,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 15, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,918,9,0.98%,$5.83,$0.6477778000000001,0,0.00%,$0.0
"Nov 15, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,3624,17,0.47%,$12.69,$0.7464706,0,0.00%,$0.0
"Nov 15, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 15, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,48,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 15, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,642,11,1.71%,$6.02,$0.5472727,1,10.22%,$58.89
"Nov 15, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,1324,1,0.08%,$0.62,$0.62,0,0.00%,$0.0
"Nov 15, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- dream light-manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,4015,26,0.65%,$17.73,$0.6819231000000001,0,0.00%,$0.0
"Nov 15, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2014,26,1.29%,$16.57,$0.6373077,0,0.00%,$0.0
"Nov 15, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,58,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 16, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,7667,19,0.25%,$15.99,$0.8415788999999999,0,0.00%,$0.0
"Nov 16, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,4,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 16, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2565,22,0.86%,$15.87,$0.7213636,0,0.00%,$0.0
"Nov 16, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- dream light-manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,854,16,1.87%,$8.74,$0.54625,0,0.00%,$0.0
"Nov 16, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,2139,2,0.09%,$0.8,$0.4,0,0.00%,$0.0
"Nov 16, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,204,3,1.47%,$1.05,$0.35,0,0.00%,$0.0
"Nov 16, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,270,1,0.37%,$0.13,$0.13,0,0.00%,$0.0
"Nov 16, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,1,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 16, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,168,2,1.19%,$1.6,$0.8,0,0.00%,$0.0
"Nov 16, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,4971,25,0.50%,$16.12,$0.6448,0,0.00%,$0.0
"Nov 16, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,1313,25,1.90%,$15.86,$0.6344,0,0.00%,$0.0
"Nov 16, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,879,11,1.25%,$5.77,$0.5245455,0,0.00%,$0.0
"Nov 16, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat perfect day auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,50,1,2.00%,$0.9,$0.9,0,0.00%,$0.0
"Nov 16, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,6756,27,0.40%,$15.73,$0.5825926,0,0.00%,$0.0
"Nov 16, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - sunshine smile,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,229,1,0.44%,$0.21,$0.21,0,0.00%,$0.0
"Nov 17, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,1444,10,0.69%,$3.29,$0.32899999999999996,0,0.00%,$0.0
"Nov 17, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,9517,32,0.34%,$19.11,$0.5971875,0,0.00%,$0.0
"Nov 17, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,8024,26,0.32%,$15.52,$0.5969231,0,0.00%,$0.0
"Nov 17, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat perfect day auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,407,1,0.25%,$0.49,$0.49,0,0.00%,$0.0
"Nov 17, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,3393,9,0.27%,$6.87,$0.7633333,0,0.00%,$0.0
"Nov 17, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,9,1,11.11%,$0.04,$0.04,0,0.00%,$0.0
"Nov 17, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1827,22,1.20%,$15.08,$0.6854545000000001,0,0.00%,$0.0
"Nov 17, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - sunshine smile,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,953,4,0.42%,$2.28,$0.57,0,0.00%,$0.0
"Nov 17, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,2623,33,1.26%,$19.13,$0.579697,1,32.48%,$58.89
"Nov 17, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,1,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 17, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - plant auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,1,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 17, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- dream light-manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1712,20,1.17%,$10.17,$0.5085000000000001,0,0.00%,$0.0
"Nov 17, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,5165,17,0.33%,$15.29,$0.8994118,0,0.00%,$0.0
"Nov 17, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,511,7,1.37%,$3.78,$0.54,0,0.00%,$0.0
"Nov 17, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1857,35,1.89%,$20.23,$0.578,0,0.00%,$0.0
"Nov 17, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,177,2,1.13%,$1.0,$0.5,0,0.00%,$0.0
"Nov 18, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- dream light-manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,3315,39,1.18%,$19.97,$0.5120513,0,0.00%,$0.0
"Nov 18, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - sunshine smile,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,1772,12,0.68%,$8.6,$0.7166667,0,0.00%,$0.0
"Nov 18, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,1257,24,1.91%,$16.22,$0.6758333000000001,0,0.00%,$0.0
"Nov 18, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-bathroom mat auto,PAUSED,USD,$6.0,Automatic targeting,Dynamic bids - down only,4212,19,0.45%,$16.07,$0.8457895000000001,0,0.00%,$0.0
"Nov 18, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- black marble manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,601,17,2.83%,$8.6,$0.5058824,1,14.60%,$58.89
"Nov 18, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - plant auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,8,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 18, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,B07JMT389Q,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,8025,32,0.40%,$21.38,$0.668125,1,32.45%,$65.89
"Nov 18, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,6,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 18, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat perfect day auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,462,1,0.22%,$0.29,$0.29,0,0.00%,$0.0
"Nov 18, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,3112,18,0.58%,$7.34,$0.4077778,0,0.00%,$0.0
"Nov 18, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,2925,39,1.33%,$20.96,$0.5374359,1,35.77%,$58.59
"Nov 18, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,7199,19,0.26%,$14.04,$0.7389474,0,0.00%,$0.0
"Nov 18, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat auto,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,1137,4,0.35%,$2.22,$0.555,0,0.00%,$0.0
"Nov 18, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- bedside mat auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,4564,7,0.15%,$5.6,$0.8,0,0.00%,$0.0
"Nov 18, 2018","Nov 11, 2018",,No Portfolio,Sponsored Products,214 mat - high cost,PAUSED,USD,$10.0,Automatic targeting,Dynamic bids - down only,12,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 18, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat- kitchen mat auto,PAUSED,USD,$15.0,Automatic targeting,Dynamic bids - down only,2526,29,1.15%,$17.86,$0.6158621,0,0.00%,$0.0
"Nov 19, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - plant auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,2,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 19, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat perfect day auto,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,180,1,0.56%,$0.9,$0.9,0,0.00%,$0.0
"Nov 19, 2018","Nov 10, 2018",,No Portfolio,Sponsored Products,214 mat-kitchen mat manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,2,0,0.00%,$0.0,$0.0,0,0.00%,$0.0
"Nov 19, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"31\"" x 19\""  - key words 1 manual",ENABLED,USD,$4.0,Manual targeting,Dynamic bids - down only,1339,8,0.60%,$3.38,$0.4225,0,0.00%,$0.0
"Nov 19, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- dream light-manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1676,17,1.01%,$9.77,$0.5747059,0,0.00%,$0.0
"Nov 19, 2018","Nov 16, 2018",,No Portfolio,Sponsored Products,214 bedside mat - sunshine smile,PAUSED,USD,$5.0,Automatic targeting,Dynamic bids - down only,775,1,0.13%,$0.99,$0.99,0,0.00%,$0.0
"Nov 19, 2018","Nov 14, 2018",,No Portfolio,Sponsored Products,214 kitchen mat- enjoy life manual,PAUSED,USD,$10.0,Manual targeting,Dynamic bids - down only,1401,25,1.78%,$12.99,$0.5196000000000001,0,0.00%,$0.0
"Nov 19, 2018","Nov 15, 2018",,No Portfolio,Sponsored Products,"63\"" x 27.5\"" -key words 3 manual",ENABLED,USD,$3.0,Manual targeting,Dynamic bids - down only,5226,15,0.29%,$10.48,$0.6986667,0,0.00%,$0.0
"Nov 19, 2018","Nov 13, 2018",,No Portfolio,Sponsored Products,kitchen mat-214-auto-hw key words,PAUSED,USD,$1.0,Manual targeting,Dynamic bids - down only,2139,25,1.17%,$14.49,$0.5796,0,0.00%,$0.0
