Customer search term,Keywords,Match type,Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACOS(%),RoAS,Conversion rate
10x11 area rug,rug,BROAD,1,1,100,0.57,0.57,0,0.00,,0,0
15”x23”bathroom rug white,rug,BROAD,1,1,100,0.30,0.30,0,0.00,,0,0
"21"" x 34"" bath rug",bath rug,BROAD,1,1,100,0.50,0.50,0,0.00,,0,0
24 x 28 non slip rug,non slip rug,BROAD,2,1,50,0.73,0.73,0,0.00,,0,0
3x2 thick bathroom rug,thick rug,BROAD,1,1,100,0.62,0.62,0,0.00,,0,0
3x7 rug runner non slip,non slip runner rug,BROAD,3,1,33.3333,0.28,0.28,0,0.00,,0,0
3x7 runner rug thick,thick rug,BROAD,1,1,100,0.62,0.62,0,0.00,,0,0
9 x 12 shag thick rug,thick rug,BROAD,11,2,18.1818,1.84,0.92,0,0.00,,0,0
absorbent bath mat set,absorbent bath mat,BROAD,1,1,100,0.62,0.62,0,0.00,,0,0
afro bathroom sets with rugs and accessories,rug,BROAD,2,1,50,0.35,0.35,0,0.00,,0,0
anti slip bath tape,anti slip,BROAD,3,1,33.3333,0.62,0.62,0,0.00,,0,0
anti slip help,anti slip,BROAD,2,1,50,0.60,0.60,0,0.00,,0,0
anti slip silicone pastry mat,anti slip mat,BROAD,2,1,50,0.61,0.61,0,0.00,,0,0
bath mat large non slip,non slip bath mat,BROAD,2,1,50,0.52,0.52,0,0.00,,0,0
bath mats absorbent,absorbent bath mat,BROAD,3,1,33.3333,0.75,0.75,0,0.00,,0,0
bath mats carpet commercial grade,bath carpet,BROAD,2,1,50,0.59,0.59,0,0.00,,0,0
bath round christmas carpets and rugs,bath carpet,BROAD,1,1,100,0.59,0.59,0,0.00,,0,0
bath rug,bath rug,BROAD,17,1,5.8824,0.46,0.46,0,0.00,,0,0
bathroom mat fun,bathroom mat,BROAD,1,1,100,0.35,0.35,0,0.00,,0,0
